map,idea,idea_num,user,x,y,x_real,y_real,x_example,y_example
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,11,-7.6173086,14.978704,-7.474519,14.729934,-7.6173086,14.978714
spacy,Both of you download an app/game in which you have to walk or travel around the real world to achieve goals in the game,1,12,7,14,-7.474519,14.729935,-7.6173086,14.978715
spacy,Hit up an arcade or video game bar,2,1,15,7.6,-13.92447,20.304285,-13.901863,20.618227
spacy,Hit up an arcade or video game bar,2,2,-13.9,20.61,-13.92447,20.304286,-13.901863,20.618228
spacy,Hit up an arcade or video game bar,2,3,,,-13.92447,20.304287,-13.901863,20.618229
spacy,Hit up an arcade or video game bar,2,4,4,-15,-13.92447,20.304288,-13.901863,20.61823
spacy,Hit up an arcade or video game bar,2,5,-13,15,-13.92447,20.304289,-13.901863,20.618231
spacy,Hit up an arcade or video game bar,2,6,-10,17,-13.92447,20.30429,-13.901863,20.618232
spacy,Hit up an arcade or video game bar,2,7,-12,22,-13.92447,20.304291,-13.901863,20.618233
spacy,Hit up an arcade or video game bar,2,8,-11,21,-13.92447,20.304292,-13.901863,20.618234
spacy,Hit up an arcade or video game bar,2,9,-13,20,-13.92447,20.304293,-13.901863,20.618235
spacy,Hit up an arcade or video game bar,2,10,-14,20,-13.92447,20.304294,-13.901863,20.618236
spacy,Hit up an arcade or video game bar,2,11,-7.6173086,14.978704,-13.92447,20.304295,-13.901863,20.618237
spacy,Hit up an arcade or video game bar,2,12,-13,20,-13.92447,20.304296,-13.901863,20.618238
spacy,Play Badminton,3,1,7.4,-8.6,-3.7974672,22.567385,-3.754006,23.525643
spacy,Play Badminton,3,2,24,-22.53,-3.7974672,22.567386,-3.754006,23.525644
spacy,Play Badminton,3,3,,,-3.7974672,22.567387,-3.754006,23.525645
spacy,Play Badminton,3,4,0,20,-3.7974672,22.567388,-3.754006,23.525646
spacy,Play Badminton,3,5,0,0,-3.7974672,22.567389,-3.754006,23.525647
spacy,Play Badminton,3,6,0,20,-3.7974672,22.56739,-3.754006,23.525648
spacy,Play Badminton,3,7,0,0,-3.7974672,22.567391,-3.754006,23.525649
spacy,Play Badminton,3,8,-1,20,-3.7974672,22.567392,-3.754006,23.52565
spacy,Play Badminton,3,9,-3,23,-3.7974672,22.567393,-3.754006,23.525651
spacy,Play Badminton,3,10,-1,20,-3.7974672,22.567394,-3.754006,23.525652
spacy,Play Badminton,3,11,1.2407947,22.53718,-3.7974672,22.567395,-3.754006,23.525653
spacy,Play Badminton,3,12,1,22,-3.7974672,22.567396,-3.754006,23.525654
spacy,Take an Art Class,4,1,18.6,6.5,18.861757,5.620273,18.64999,6.5470967
spacy,Take an Art Class,4,2,-13.9,20.61,18.861757,5.620274,18.64999,6.5470968
spacy,Take an Art Class,4,3,,,18.861757,5.620275,18.64999,6.5470969
spacy,Take an Art Class,4,4,5,3,18.861757,5.620276,18.64999,6.547097
spacy,Take an Art Class,4,5,18,5,18.861757,5.620277,18.64999,6.5470971
spacy,Take an Art Class,4,6,0,10,18.861757,5.620278,18.64999,6.5470972
spacy,Take an Art Class,4,7,20,8,18.861757,5.620279,18.64999,6.5470973
